"","ID","TYPE","WDPAID","WDPA_PID","PA_DEF","NAME","ORIG_NAME","GOV_TYPE","MANG_AUTH","STATUS","STATUS_YR","REP_M_AREA","GIS_M_AREA","REP_AREA","GIS_AREA","DESIG_TYPE","IUCN_CAT","DESIG_ENG","INT_CRIT","MARINE","NO_TAKE","NO_TK_AREA","OWN_TYPE","SUB_LOC","PARENT_ISO3","ISO3","collab_gov","transboundary","private","nonprofit","local","indigenous","sub_national","federal","missing","gov_clean"
"3",55024,"Polygon",21225,"21225",1,"Acambuco","Acambuco","Sub-national ministry or agency","Not Reported","Designated",2004,0,0,82.66,80.42385415,"National","Reserva de Flora y Fauna","Flora and Fauna Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"7",55008,"Polygon",555587155,"555587155",1,"Afloramiento Limoso","Afloramiento Limoso","Sub-national ministry or agency","Not Reported","Designated",2002,0,0,12,6.570699994,"National","Paisaje Protegido","Protected Landscape","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-J","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"8",54995,"Polygon",19633,"19633",1,"Agua Dulce","Agua Dulce","Sub-national ministry or agency","Not Reported","Designated",1970,0,0,90.1402,79.65349586,"National","Reserva de Caza","Hunting Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"9",54838,"Polygon",21213,"21213",1,"Aguaray-mí","Aguaray-mí","Private Landowners","Not Reported","Designated",1988,0,0,47.69,32.80354227,"National","Reserva Privada","Private Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"11",55034,"Polygon",32517,"32517",1,"Alejandro Orloff  Saltitos","Alejandro Orloff  Saltitos","Sub-national ministry or agency","Not Reported","Designated",1997,0,0,4.09,3.31805092,"National","Reserva de Uso Múltiple","Multiple Use Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"15",54834,"Polygon",555587056,"555587056",1,"Andres Giai","Andres Giai","Private Landowners","Not Reported","Designated",1997,0,0,0.12,0.1176094892,"National","Paisaje Protegido","Protected Landscape","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"16",55044,"Polygon",555587076,"555587076",1,"Angastaco","Angastaco","Sub-national ministry or agency","Not Reported","Designated",1995,0,0,131.75,137.9951504,"National","Monumento Natural","Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"17",54885,"Polygon",300019,"300019",1,"Apipé Grande","Apipé Grande","Sub-national ministry or agency","Not Reported","Designated",1994,0,0,27.5,47.25473185,"National","Reserva Natural Provincial","Provincial Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-W","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"18",54833,"Polygon",30832,"30832",1,"Araucaria","Araucaria","Sub-national ministry or agency","Not Reported","Designated",1991,0,0,0.92,0.9214624178,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"21",54900,"Polygon",555587104,"555587104",1,"Arroyo El Durazno","Arroyo El Durazno","Private Landowners","Not Reported","Designated",2011,0,0,5.14,4.419346871,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"22",54890,"Polygon",555558365,"555558365",1,"Arroyo Los Gauchos","Arroyo Los Gauchos","Sub-national ministry or agency","Not Reported","Designated",2011,0,0,7.7,5.665706649,"National","Reserva Natural de Uso Múltiple","Multiple Use Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"23",54882,"Polygon",555587086,"555587086",1,"Arroyo Ramirez","Arroyo Ramirez","Sub-national ministry or agency","Not Reported","Designated",1967,0,0,1.8,2.19838289,"National","Reserva de Pesca","Fisheries Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"26",54894,"Polygon",555558341,"555558341",1,"Arroyo Zabala","Arroyo Zabala","Sub-national ministry or agency","Not Reported","Designated",2001,12,8.248815255,18.47,15.82773313,"National","Reserva Natural de Uso Múltiple","Multiple Use Nature Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"27",61229,"Polygon",555624160,"555624160",1,"Ascochinga","Ascochinga","Federal or national ministry or agency","Fuerza Áerea Argentina","Designated",2014,0,0,33.89,34.08118384,"National","Reserva Natural de la Defensa","Nature Reserve of Defense","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-X","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"30",54884,"Polygon",555558356,"555558356",1,"Aves Migratorias","Aves Migratorias","Sub-national ministry or agency","Not Reported","Designated",2001,0,12.93832141,26.9,58.73934401,"National","Reserva Provincial","Provincial Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"31",54912,"Polygon",555587111,"555587111",1,"Azul","Azul","Sub-national ministry or agency","Not Reported","Designated",2003,0,0,131.55,71.90061718,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-R","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"36",54972,"Polygon",16899,"16899",1,"Bahía Laura","Bahía Laura","Sub-national ministry or agency","Not Reported","Designated",1977,0,33.60988035,16.57,51.7964002,"National","Reserva Natural Intangible","Intangible Nature Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"39",54970,"Polygon",555558354,"555558354",1,"Bahía San Julián","Bahía San Julián","Private Landowners","Not Reported","Designated",1990,25,23.97512796,33.97,28.53077583,"National","Área de Uso Limitado Bajo Protección Especial","Limited Use Area Under Special Protection","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"44",54976,"Polygon",555558349,"555558349",1,"Barco Hundido","Barco Hundido","Sub-national ministry or agency","Not Reported","Designated",2002,0,90.62360224,103.7,111.2784867,"National","Reserva Provincial","Provincial Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"46",54898,"Polygon",555587102,"555587102",1,"Barranca Norte","Barranca Norte","Private Landowners","Not Reported","Designated",2011,0,0,1.17,1.175894167,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"47",54906,"Polygon",16874,"16874",1,"Batea Mahuida","Batea Mahuida","Sub-national ministry or agency","Not Reported","Designated",1968,0,0,12.06,20.45768113,"National","Reserva Forestal","Forest Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"48",61230,"Polygon",555624158,"555624158",1,"Baterías - Charles Darwin","Baterías - Charles Darwin","Federal or national ministry or agency","Armada Argentina","Designated",2013,0,0,10,10.12771418,"National","Reserva Natural de la Defensa","Nature Reserve of Defense","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"49",52819,"Polygon",555587139,"555587139",1,"Bloque Herratico","Bloque Herratico","Sub-national ministry or agency","Not Reported","Designated",2009,0,0,0,26.24118418,"National","Monumento Natural","Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"50",54880,"Polygon",555587084,"555587084",1,"Boca de la Laguna Herradura","Boca de la Laguna Herradura","Sub-national ministry or agency","Not Reported","Designated",1967,0,0,1.87,2.200429586,"National","Reserva de Pesca","Fisheries Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"51",54961,"Polygon",555587131,"555587131",1,"Boca del Chimehuin","Boca del Chimehuin","Sub-national ministry or agency","Not Reported","Designated",2000,0,0,15,18.30397343,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"52",54881,"Polygon",555587085,"555587085",1,"Boca del Rio Bermejo","Boca del Rio Bermejo","Sub-national ministry or agency","Not Reported","Designated",1971,0,0,1.7,3.588108385,"National","Reserva de Pesca","Fisheries Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"54",54967,"Polygon",61847,"61847",1,"Bosque Petrificado Sarmiento","Bosque Petrificado Sarmiento","Sub-national ministry or agency","Not Reported","Designated",1973,0,0,18.32,18.8593995,"National","Reserva Natural Turística","Tourist Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-U","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"56",56975,"Polygon",2226,"2226",1,"Bosques Petrificados","Bosques Petrificados","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",1954,0,0,150,149.8382666,"National","Monumento Natural","Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"58",55041,"Polygon",555587127,"555587127",1,"Bosques Protectores","Bosques Petrificados","Sub-national ministry or agency","Not Reported","Designated",1967,0,0,18.43,18.479456,"National","Reserva Pública","Reserva Pública","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"59",54850,"Polygon",555587065,"555587065",1,"Caa Pora","Caa Pora","Private Landowners","Not Reported","Designated",1990,0,0,0.41,0.3976147544,"National","Reserva Privada","Private Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"60",54975,"Polygon",16901,"16901",1,"Cabo Blanco","Cabo Blanco","Sub-national ministry or agency","Not Reported","Designated",1977,0,23.39762785,73.7,36.54999884,"National","Reserva Natural Intangible","Intangible Nature Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"61",54966,"Polygon",19603,"19603",1,"Cabo dos Bahías","Cabo dos Bahías","Sub-national ministry or agency","Not Reported","Designated",1973,0,0.4468986207,1.6,1.941142628,"National","Reserva Natural Turística","Tourist Nature Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-U","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"62",52859,"Polygon",21226,"21226",1,"Cabo Vírgenes","Cabo Vírgenes","Sub-national ministry or agency","Not Reported","Designated",1986,0,0.6410375954,12.3,24.29993027,"National","Reserva Provincial","Provincial Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"63",55020,"Polygon",16882,"16882",1,"Caleta de los Loros","Caleta de los Loros","Sub-national ministry or agency","Not Reported","Designated",1984,0,64.45626579,90.84,90.87135593,"National","Reserva de Uso Múltiple","Multiple Use Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-R","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"64",54977,"Polygon",555587142,"555587142",1,"Caleta Olivia","Caleta Olivia","Local communities","Not Reported","Designated",2008,0,1.02707959,2,1.02707959,"National","Reserva Provincial","Provincial Reserve","Not Applicable",2,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,1,0,0,0,0,"local"
"68",61224,"Polygon",555624154,"555624154",1,"Campo Garabato","Campo Garabato","Federal or national ministry or agency","Fuerza Áerea Argentina","Designated",2012,0,0,27,26.64318818,"National","Reserva Natural de la Defensa","Nature Reserve of Defense","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-S","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"70",61177,"Polygon",555577543,"555577543",1,"Campos del Tuyú","Campos del Tuyú","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",2009,0,1.647954201,30.39999962,30.54591443,"National","Parque Nacional","National Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"71",54929,"Polygon",300021,"300021",1,"Cañada Molina","Cañada Molina","Sub-national ministry or agency","Not Reported","Designated",1993,0,0,0.5,1.704790602,"National","Monumento Natural Provincial","Provincial Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"72",54980,"Polygon",32511,"32511",1,"Cañadón de Profundidad","Cañadón de Profundidad","Sub-national ministry or agency","Not Reported","Designated",1991,0,0,0.19,0.5264644018,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"73",54873,"Polygon",61876,"61876",1,"Carabajal","Carabajal","Sub-national ministry or agency","Not Reported","Designated",1971,0,0,9.22,11.04266128,"National","Reserva de Fauna Silvestre","Wildlife Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"76",55002,"Polygon",555587148,"555587148",1,"Castillos de Pincheira","Castillos de Pincheira","Sub-national ministry or agency","Not Reported","Designated",1999,0,0,6.5,4.699460387,"National","Reserva de Paisaje Protegido","Protected Landscape Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-M","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"77",55003,"Polygon",300024,"300024",1,"Caverna de las Brujas","Caverna de las Brujas","Sub-national ministry or agency","Not Reported","Designated",1990,0,0,4.51,1.308002408,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-M","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"78",55047,"Polygon",19618,"19618",1,"Cayastá","Cayastá","Sub-national ministry or agency","Not Reported","Designated",1970,0,0,3,3.71321161,"National","Parque Natural Provincial","Provincial Nature Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-S","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"81",53992,"Polygon",81005,"81005",1,"Cerro Alcázar","Cerro Alcázar","Collaborative governance","Not Reported","Designated",1993,0,0,1,1.019170598,"National","Monumento Natural","Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-J","ARG","ARG",1,0,0,0,0,0,0,0,0,"collaborative"
"84",54948,"Polygon",26617,"26617",1,"Cerro Colorado","Cerro Colorado","Sub-national ministry or agency","Not Reported","Designated",1957,0,0,30,28.24891182,"National","Reserva Cultural Natural","Nature and Cultural Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-X","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"90",56967,"Polygon",18,"18",1,"Chaco","Chaco","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",1954,0,0,149.81,149.9046934,"National","Parque Nacional","National Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-H","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"91",54953,"Polygon",16893,"16893",1,"Chancani","Chancani","Sub-national ministry or agency","Not Reported","Designated",1986,0,0,49.6,50.19838558,"National","Parque Natural Provincial y Reserva Forestal Natural","Provincial Nature Park and Natural Forest Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-X","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"93",54905,"Polygon",16875,"16875",1,"Chañy","Chañy","Sub-national ministry or agency","Not Reported","Designated",1986,0,0,20.39,49.94014304,"National","Reserva Forestal","Forest Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"94",54829,"Polygon",555587122,"555587122",1,"Chasico","Chasico","Sub-national ministry or agency","Not Reported","Designated",1999,0,0,78.07,78.24585937,"National","Reserva Natural de Objetos Definidos","Nature Reserve of Define Objects","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"95",61206,"Polygon",555643562,"555643562",1,"Ciervo de los Pantanos","Ciervo de los Pantanos","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",2018,0,0,52,55.72773085,"National","Parque Nacional","National Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"96",54913,"Polygon",555587112,"555587112",1,"Cipresal de las Guaitecas","Cipresal de las Guaitecas","Sub-national ministry or agency","Not Reported","Designated",2005,0,0,39.11,38.94404563,"National","Área Natural Protegida","Protected Nature Area","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-R","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"97",61219,"Polygon",32633,"32633",1,"Colonia Benítez","Colonia Benítez","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",1990,0,0,0.07999999821,0.07496231381,"National","Reserva Natural Educativa","Educational Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-H","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"99",55021,"Polygon",30844,"30844",1,"Complejo Islote Lobos","Complejo Islote Lobos","Sub-national ministry or agency","Not Reported","Designated",1977,0,111.9943689,186.84,186.9651469,"National","Reserva Natural Científica","Scientific Nature Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-R","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"105",54835,"Polygon",300029,"300029",1,"Corpus","Corpus","Sub-national ministry or agency","Not Reported","Designated",1978,0,0,8.8272,8.380975168,"National","Reserva Ictica","Ichthyic Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"107",55079,"Polygon",902401,"902401",1,"Costanera Sur","Costanera Sur","Sub-national ministry or agency","Not Reported","Designated",2005,0,3.490110459,3.5,3.597754655,"International","Sitio Ramsar, Humedal de Importancia Internacional","Ramsar Site, Wetland of International Importance","(ii)(iii)",2,"Not Reported",0,"Not Reported","AR-C","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"108",54826,"Polygon",30833,"30833",1,"Cruce Caballero","Cruce Caballero","Sub-national ministry or agency","Not Reported","Designated",1989,0,0,5.22,5.389687745,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"110",54958,"Polygon",555587130,"555587130",1,"Cuchillo-Cura","Cuchillo-Cura","Sub-national ministry or agency","Not Reported","Designated",2003,0,0,3.86,3.86642325,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"111",54960,"Polygon",555587133,"555587133",1,"Cueva de las Manos","Cueva de las Manos","Sub-national ministry or agency","Not Reported","Designated",1999,0,0,120,101.6186708,"National","Patrimonio Histórico Cultural Natural","Nature Historical and Cultural Heritage Site","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"113",54848,"Polygon",300032,"300032",1,"Cuña Pirú","Cuña Pirú","Local communities","Not Reported","Designated",2000,0,0,54.9263,55.12992209,"National","Reserva Privada","Private Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,1,0,0,0,0,"local"
"115",55046,"Polygon",19605,"19605",1,"Del Medio - Los Caballos","Del Medio - Los Caballos","Sub-national ministry or agency","Not Reported","Designated",1970,0,0,20.5,16.05411761,"National","Parque Natural Provincial","Provincial Nature Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-S","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"119",54877,"Polygon",555587081,"555587081",1,"Dique Quebrada de Ullum","Dique Quebrada de Ullum","Sub-national ministry or agency","Not Reported","Designated",1981,0,0,7.6,4.409858001,"National","Paisaje Protegido","Protected Landscape","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-J","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"120",54997,"Polygon",16862,"16862",1,"Divisadero Largo","Divisadero Largo","Sub-national ministry or agency","Not Reported","Designated",1983,0,0,4.92,5.094967763,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-M","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"123",55049,"Polygon",555637445,"555637445",1,"Dragones","Dragones","Private Landowners","Not Reported","Designated",2004,0,0,40.43,37.10815483,"National","Refugio de Vida Silvestre","Private Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"125",54994,"Polygon",32487,"32487",1,"El Bagual","El Bagual","Private Landowners","Not Reported","Designated",1985,0,0,38,32.38220417,"National","Reserva Privada","Private Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"128",55057,"Polygon",555626126,"555626126",1,"El Fisco","El Fisco","Sub-national ministry or agency","Not Reported","Designated",2008,0,0,15.74,15.98326401,"National","Reserva Natural Manejada","Managed Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-S","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"132",55010,"Polygon",300035,"300035",1,"El Mangrullo","El Mangrullo","Sub-national ministry or agency","Not Reported","Designated",1996,0,0,92.4,87.63149004,"National","Reserva de Uso Múltiple","Multiple Use Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"134",61213,"Polygon",555577540,"555577540",1,"El Nogalar de Los Toldos","El Nogalar de Los Toldos","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",2006,0,0,32.75,32.89636691,"National","Reserva Nacional","National Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"135",61221,"Polygon",21,"21",1,"El Palmar","El Palmar","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",1966,0,0,82.13,82.45232973,"National","Parque Nacional","National Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-E","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"136",54845,"Polygon",555587058,"555587058",1,"El Paraíso","El Paraíso","Private Landowners","Not Reported","Designated",1998,0,0,4.4,4.398847891,"National","Reserva Privada","Private Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"139",61217,"Polygon",555624152,"555624152",1,"El Rincón","El Rincón","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",2016,0,0,150,149.9100535,"National","Reserva Natural Silvestre","Wilderness Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"143",53785,"Polygon",97482,"97482",1,"Embalse Casa de Piedra","Embalse Casa de Piedra","Sub-national ministry or agency","Not Reported","Designated",1993,0,0,46,89.57992728,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-L","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"145",54895,"Polygon",21215,"21215",1,"Ernesto Tornquist","Ernesto Tornquist","Sub-national ministry or agency","Not Reported","Designated",2001,0,0,61.13,70.37356918,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"147",54931,"Polygon",555587119,"555587119",1,"Escuela Rural Enrique Berduc","Escuela Rural Enrique Berduc","Sub-national ministry or agency","Not Reported","Designated",1997,0,0,5.94,5.656590184,"National","Reserva de Uso Múltiple","Multiple Use Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-E","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"148",54928,"Polygon",555587118,"555587118",1,"Escuela Rural Juan B. Alberdi","Escuela Rural Juan B. Alberdi","Sub-national ministry or agency","Not Reported","Designated",1992,0,0,0.2,0.1503742828,"National","Reserva de Uso Múltiple","Multiple Use Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-E","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"150",54837,"Polygon",30834,"30834",1,"Esperanza","Esperanza","Sub-national ministry or agency","Not Reported","Designated",1989,0,0,6.86,6.737288894,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"151",54937,"Polygon",555587121,"555587121",1,"Estancia Ralicó","Estancia Ralicó","Private Landowners","Not Reported","Designated",2004,0,0,67,152.8268574,"National","Reserva Forestal Natural","Nature Forest Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-X","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"152",55058,"Polygon",555626127,"555626127",1,"Estancia Santa Catalina","Estancia Santa Catalina","Private Landowners","Not Reported","Designated",2014,0,0,17.73,10.17444247,"National","Reserva Privada de Uso Múltiple","Private Multiple Use Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-S","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"153",53596,"Polygon",146622,"146622",1,"Fachinal","Fachinal","Sub-national ministry or agency","Not Reported","Designated",1996,0,0,0.52,0.5149749786,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"154",55053,"Polygon",555626121,"555626121",1,"Federico Wildermuth","Federico Wildermuth","Private Landowners","Not Reported","Designated",2014,0,0,16.24,16.52709164,"National","Reserva Privada de Uso Múltiple","Private Multiple Use Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-S","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"155",55042,"Polygon",555587074,"555587074",1,"Finca Las Costas","Finca Las Costas","Sub-national ministry or agency","Not Reported","Designated",1995,0,0,105.14,108.5602102,"National","Reserva Natural de Uso Múltiple","Multiple Use Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"156",54844,"Polygon",300042,"300042",1,"Florencio de Basaldua","Florencio de Basaldua","Sub-national ministry or agency","Not Reported","Designated",1996,0,0,2.49,2.505459456,"National","Monumento Natural","Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"157",61011,"Polygon",4,"4",1,"Formosa","Formosa","Federal or national ministry or agency","Administración de Parques Nacionales","Designated",1968,0,0,90.05,91.14431456,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
